id,full_name,date_of_birth
0,Sam Worthington,
1,Zoe Saldana,
2,Sigourney Weaver,
3,Johnny Depp,
4,Orlando Bloom,
5,Keira Knightley,
6,Daniel Craig,
7,Christoph Waltz,
8,Léa Seydoux,
9,Christian Bale,
10,Michael Caine,
11,Gary Oldman,
12,Taylor Kitsch,
13,Lynn Collins,
14,Samantha Morton,
15,Tobey Maguire,
16,Kirsten Dunst,
17,James Franco,
18,Zachary Levi,
19,Mandy Moore,
20,Donna Murphy,
21,Robert Downey Jr.,
22,Chris Hemsworth,
23,Mark Ruffalo,
24,Daniel Radcliffe,
25,Rupert Grint,
26,Emma Watson,
27,Ben Affleck,
28,Henry Cavill,
29,Gal Gadot,
30,Brandon Routh,
31,Kevin Spacey,
32,Kate Bosworth,
33,Olga Kurylenko,
34,Mathieu Amalric,
35,Armie Hammer,
36,William Fichtner,
37,Amy Adams,
38,Michael Shannon,
39,Ben Barnes,
40,William Moseley,
41,Anna Popplewell,
42,Chris Evans,
43,Penélope Cruz,
44,Ian McShane,
45,Will Smith,
46,Tommy Lee Jones,
47,Josh Brolin,
48,Martin Freeman,
49,Ian McKellen,
50,Richard Armitage,
51,Andrew Garfield,
52,Emma Stone,
53,Rhys Ifans,
54,Russell Crowe,
55,Cate Blanchett,
56,Max von Sydow,
57,Dakota Blue Richards,
58,Nicole Kidman,
59,Naomi Watts,
60,Jack Black,
61,Adrien Brody,
62,Kate Winslet,
63,Leonardo DiCaprio,
64,Frances Fisher,
65,Scarlett Johansson,
66,Alexander Skarsgård,
67,Rihanna,
68,Chris Pratt,
69,Bryce Dallas Howard,
70,Irrfan Khan,
71,Judi Dench,
72,Javier Bardem,
73,Gwyneth Paltrow,
74,Don Cheadle,
75,Mia Wasikowska,
76,Anne Hathaway,
77,Hugh Jackman,
78,Halle Berry,
79,Billy Crystal,
80,John Goodman,
81,Steve Buscemi,
82,Shia LaBeouf,
83,Megan Fox,
84,Josh Duhamel,
85,Mark Wahlberg,
86,Stanley Tucci,
87,Kelsey Grammer,
88,Mila Kunis,
89,Rachel Weisz,
90,Jamie Foxx,
91,Garrett Hedlund,
92,Jeff Bridges,
93,Olivia Wilde,
94,Owen Wilson,
95,Larry the Cable Guy,
96,Ryan Reynolds,
97,Blake Lively,
98,Peter Sarsgaard,
99,Tom Hanks,
100,Tim Allen,
101,Ned Beatty,
102,Anton Yelchin,
103,Vin Diesel,
104,Paul Walker,
105,Dwayne Johnson,
106,Brad Pitt,
107,Mireille Enos,
108,Abigail Hargrove,
109,James McAvoy,
110,Michael Fassbender,
111,Chris Pine,
112,Zachary Quinto,
113,Nicholas Hoult,
114,Eleanor Tomlinson,
115,Ewan McGregor,
116,Carey Mulligan,
117,Jake Gyllenhaal,
118,Gemma Arterton,
119,Ben Kingsley,
120,Idris Elba,
121,Charlie Hunnam,
122,Charlie Day,
123,John Malkovich,
124,Ken Jeong,
125,Harrison Ford,
126,Raymond Ochoa,
127,Jack Bright,
128,Jeffrey Wright,
129,Kelly Macdonald,
130,Julie Walters,
131,Billy Connolly,
132,Karl Urban,
133,Ben Burtt,
134,Elissa Knight,
135,Jeff Garlin,
136,Chris Tucker,
137,Jackie Chan,
138,Hiroyuki Sanada,
139,John Cusack,
140,Amanda Peet,
141,Chiwetel Ejiofor,
142,Jim Carrey,
143,Steve Valentine,
144,Channing Tatum,
145,Sean Bean,
146,Margot Robbie,
147,Skandar Keynes,
148,Jennifer Lawrence,
149,Heath Ledger,
150,Aaron Eckhart,
151,Ed Asner,
152,Christopher Plummer,
153,Jordan Nagai,
154,Seth Rogen,
155,Reese Witherspoon,
156,Hugh Laurie,
157,Terrence Howard,
158,Sacha Baron Cohen,
159,Asa Butterfield,
160,Kevin Kline,
161,Kenneth Branagh,
162,Brendan Fraser,
163,Jet Li,
164,John Hannah,
165,Joel Kinnaman,
166,Steve Carell,
167,Lauren Graham,
168,Tom Cruise,
169,Emily Blunt,
170,Brendan Gleeson,
171,Kevin Costner,
172,Chaim Girafi,
173,Rick Aviles,
174,Dennis Quaid,
175,Marlon Wayans,
176,Amy Poehler,
177,Phyllis Smith,
178,Richard Kind,
179,Neel Sethi,
180,Bill Murray,
181,Kristen Stewart,
182,Charlize Theron,
183,Angelina Jolie,
184,Elle Fanning,
185,Sharlto Copley,
186,Andy Serkis,
187,Jason Clarke,
188,Josh Hartnett,
189,Simone Kessell,
190,Tamsin Egerton,
191,Keanu Reeves,
192,Kou Shibasaki,
193,Samuel L. Jackson,
194,Mike Myers,
195,Eddie Murphy,
196,Cameron Diaz,
197,Britt Robertson,
198,George Clooney,
199,Raffey Cassidy,
200,Scott Adsit,
201,Ryan Potter,
202,Daniel Henney,
203,John C. Reilly,
204,Sarah Silverman,
205,Jack McBrayer,
206,Michael Jeter,
207,Nona Gaye,
208,Liam Hemsworth,
209,Jeff Goldblum,
210,Bill Pullman,
211,Jay Baruchel,
212,Gerard Butler,
213,Craig Ferguson,
214,Arnold Schwarzenegger,
215,Nick Stahl,
216,Claire Danes,
217,Dave Bautista,
218,Matthew McConaughey,
219,Jessica Chastain,
220,Joseph Gordon-Levitt,
221,Ellen Page,
222,Hiroki Hasegawa,
223,Yutaka Takenouchi,
224,Satomi Ishihara,
225,Michelle Rodriguez,
226,Tilda Swinton,
227,Josh Hutcherson,
228,Nicolas Cage,
229,Monica Bellucci,
230,Kurt Russell,
231,Richard Dreyfuss,
232,Josh Lucas,
233,Paula Patton,
234,Travis Fimmel,
235,Ben Foster,
236,Emilia Clarke,
237,Georgie Henley,
238,Simon Pegg,
239,Kate Beckinsale,
240,Colin Farrell,
241,Val Kilmer,
242,Jason Bateman,
243,Alice Braga,
244,Charlie Tahan,
245,Freddie Highmore,
246,David Kelly,
247,Patton Oswalt,
248,Ian Holm,
249,Lou Romano,
250,Liam Neeson,
251,Ben Stiller,
252,Jada Pinkett Smith,
253,David Schwimmer,
254,Liev Schreiber,
255,Danny Huston,
256,Laurence Fishburne,
257,Carrie-Anne Moss,
258,Kristen Bell,
259,Idina Menzel,
260,Jonathan Groff,
261,Natalie Portman,
262,Tom Hiddleston,
263,Tom Hardy,
264,Ayelet Zurer,
265,John Travolta,
266,Miley Cyrus,
267,Susie Essman,
268,Sam Rockwell,
269,Tracy Morgan,
270,Ralph Fiennes,
271,Michelle Pfeiffer,
272,Helena Bonham Carter,
273,Rebecca Ferguson,
274,Benicio del Toro,
275,Anthony Hopkins,
276,Jerry Seinfeld,
277,Renée Zellweger,
278,Jim Cummings,
279,Dustin Hoffman,
280,Noah Ringer,
281,Nicola Peltz,
282,Jackson Rathbone,
283,Philip Seymour Hoffman,
284,Ving Rhames,
285,Joey King,
286,Seth Green,
287,Joan Cusack,
288,Dan Fogler,
289,Levi Miller,
290,Ty Burrell,
291,Max Charles,
292,Ariel Winter,
293,Eric Bana,
294,Pierce Brosnan,
295,Rosamund Pike,
296,Melissa McCarthy,
297,Kristen Wiig,
298,Kate McKinnon,
299,Bruce Willis,
300,Billy Bob Thornton,
301,Rip Torn,
302,Ray Winstone,
303,Bryan Cranston,
304,Jeremy Renner,
305,Alec Baldwin,
306,Jude Law,
307,Téa Leoni,
308,Ken Watanabe,
309,William Atherton,
310,Joel Edgerton,
311,John Turturro,
312,Leonard Nimoy,
313,Willem Dafoe,
314,Brenton Thwaites,
315,Nikolaj Coster-Waldau,
316,Jessica Biel,
317,Malin Åkerman,
318,Billy Crudup,
319,Carla Gugino,
320,Mel Gibson,
321,Danny Glover,
322,Joe Pesci,
323,Jennifer Connelly,
324,Sam Elliott,
325,D.J. Cotrona,
326,Adrianne Palicki,
327,Steve Zahn,
328,Donald Sutherland,
329,Ming-Na Wen,
330,Hugo Weaving,
331,Sophie Marceau,
332,Robert Carlyle,
333,Paul Bettany,
334,James D'Arcy,
335,Robert Pattinson,
336,Taylor Lautner,
337,Elijah Wood,
338,Robin Williams,
339,Pink,
340,Edward Norton,
341,Liv Tyler,
342,Tim Roth,
343,Ruby Barnhill,
344,Mark Rylance,
345,Rebecca Hall,
346,Will Poulter,
347,Paul Giamatti,
348,Michael Peña,
349,Isla Fisher,
350,Tom McGrath,
351,Chris Miller,
352,Christopher Knights,
353,Matt Damon,
354,Julia Stiles,
355,David Strathairn,
356,Paul Rudd,
357,Michael Douglas,
358,Evangeline Lilly,
359,Jim Parsons,
360,Steve Martin,
361,Dakota Fanning,
362,Miranda Otto,
363,Martin Lawrence,
364,Jordi Mollà,
365,Antonio Banderas,
366,Salma Hayek,
367,Zach Galifianakis,
368,Jamie Bell,
369,Essie Davis,
370,Jaden Smith,
371,Sophie Okonedo,
372,D. B. Sweeney,
373,Alfre Woodard,
374,Ossie Davis,
375,Rami Malek,
376,Rebel Wilson,
377,Will Ferrell,
378,Tina Fey,
379,Kevin Bacon,
380,Geoffrey Rush,
381,Audrey Tautou,
382,Jesse Eisenberg,
383,Leslie Mann,
384,Patrick Stewart,
385,Jordana Brewster,
386,Jared Harris,
387,Sharon Stone,
388,Rachel Ticotin,
389,Vladimir Kulich,
390,Dennis Storhøi,
391,Chris O'Donnell,
392,Taylor Momsen,
393,Jeffrey Tambor,
394,Emmy Rossum,
395,Dougray Scott,
396,Thandie Newton,
397,Diane Lane,
398,Ioan Gruffudd,
399,Jessica Alba,
400,Suraj Sharma,
401,Ayush Tandon,
402,Eva Mendes,
403,Wes Bentley,
404,Alicia Vikander,
405,Drew Barrymore,
406,Lucy Liu,
407,Noomi Rapace,
408,Guy Pearce,
409,Michael J. Fox,
410,Geena Davis,
411,Jodie Foster,
412,Michael Keaton,
413,Emile Hirsch,
414,Christina Ricci,
415,Matthew Fox,
416,Morgan Freeman,
417,Hayden Christensen,
418,Mary Gibbs,
419,Famke Janssen,
420,Clovis Cornillac,
421,Gérard Depardieu,
422,Franck Dubosc,
423,Adam Beach,
424,Peter Stormare,
425,Will Arnett,
426,Sandra Bullock,
