username,actor_id,rating
ppointon2l,672,2
pvicaryn,522,4
wdjordjevic1r,453,3
sbignell19,5069,3
ppointon2l,4659,1
dpiatto4,4647,1
lconaboy11,2590,2
cschild1y,944,2
llangloisi,1922,4
cniesel0,4928,3
tlowden17,3240,3
ccockerham8,2939,3
kstammler1m,177,2
cniesel0,2452,3
daleksidzer,3267,2
lbudibent3,2415,2
glongbottom16,5679,2
rbottrellt,2054,4
afradsonm,117,2
cfrankcom2d,4236,2
csedgeworthk,3540,4
daleksidzer,3668,4
cschild1y,3256,4
jhearsey25,4214,2
esouthwell2b,3082,4
msmedmore2n,5600,2
afradsonm,2026,2
rrosten1x,5278,1
jcolyer5,1745,2
rbottrellt,4133,3
jhearsey25,4108,1
prosenfelt14,3715,3
jvasilenko2h,739,4
mvasseh,572,2
jvasilenko2h,2860,4
rtwitchings9,5504,2
cfrankcom2d,3159,2
olechmere1k,1387,3
prosenfelt14,920,3
apetchell15,5438,4
mdampier2q,3676,4
bdundin1f,4077,2
mvasseh,3553,1
kstammler1m,2319,1
ccockerham8,5050,4
rbottrellt,1330,4
rgasgarthu,1403,1
vmuslimf,1366,4
ebatchelor22,810,3
glongbottom16,2472,2
aecclestone1d,4386,2
pkyteley2j,1173,4
lmaxtedg,4643,1
tpaulino2,2409,1
ccrippin21,814,2
oaloshkinj,5420,1
ssparshettb,1150,4
cosbaldestony,351,1
xbenion2f,5560,3
cniesel0,3462,1
rrosten1x,321,2
cyannoni1w,4416,3
ebatchelor22,5520,4
thargess27,1810,1
egabbatiss2p,3510,2
cwaszkiewicz1u,394,2
kstonestreet20,3100,1
wdjordjevic1r,3237,1
tfley1q,889,4
swilemans,2853,1
thargess27,1604,4
pvicaryn,3222,3
cyannoni1w,4264,3
fscreech6,3178,3
csedgeworthk,2856,4
mcharlot12,4998,4
jdellcasa1n,2156,4
csedgeworthk,2605,4
pkyteley2j,5356,3
esouthwell2b,5223,4
dpiatto4,2882,1
jvasilenko2h,4783,1
glongbottom16,1558,3
mgarioch1p,951,2
tdundon1,820,1
egabbatiss2p,5009,4
jdellcasa1n,509,2
garonovich1v,1528,1
dbruckshaw1l,644,3
dsiene2k,631,4
mwhitnell7,4134,1
dayllett1i,2541,2
cosbaldestony,1080,2
lmaxtedg,571,2
mgarioch1p,3485,1
ashenton26,3404,2
bboobierv,380,1
afradsonm,5193,4
vsecretan1z,2850,4
csedgeworthk,3681,2
jvasilenko2h,1806,1
jvasilenko2h,1871,3
astoate1c,5347,1
sbignell19,4407,3
alloydwilliamsa,4921,3
aecclestone1d,1782,2
garonovich1v,3539,3
egrestie2c,411,3
jhearsey25,3608,3
rrosten1x,2676,1
tfley1q,3719,3
sbignell19,4094,3
prosenfelt14,5233,2
hpoundford2i,4116,4
jmonini18,4666,3
afradsonm,2076,2
sbignell19,3808,4
rfoulis13,2526,4
gtapine,3809,4
lshattock1e,1238,3
pkyteley2j,325,3
csedgeworthk,4222,3
tsowrah1t,4347,1
sbignell19,5088,4
pcolleford2r,602,2
aheyward1g,1475,2
jhearsey25,5611,1
cyannoni1w,5359,3
dbruckshaw1l,4734,4
battwellz,5677,1
mgarioch1p,2854,4
ccockerham8,1630,1
ahorbath1a,3704,1
marnaez24,4869,2
lshattock1e,1244,3
ccockerham8,3205,3
lmaxtedg,281,4
tsowrah1t,2842,3
rfoulis13,4459,3
fscreech6,5503,3
hseabrocke2m,572,2
gtoffolonio,2890,1
astoate1c,3212,1
ccockerham8,3290,4
olechmere1k,5432,2
jdellcasa1n,2342,4
jcolyer5,4925,4
sponteq,833,1
aecclestone1d,4484,4
aecclestone1d,5110,4
ebatchelor22,4711,2
daleksidzer,3100,1
cwaszkiewicz1u,472,1
mvasseh,32,2
msmedmore2n,3312,2
dpiatto4,3192,2
mgarioch1p,5662,4
mcharlot12,3082,2
battwellz,2687,4
tpaulino2,743,4
glongbottom16,3250,4
fbernon1j,4060,1
jmonini18,1003,2
