username,genre_id,rating
ppointon2l,6,3.0
pvicaryn,3,4.0
wdjordjevic1r,6,2.0
dpiatto4,7,1.0
cschild1y,15,4.0
llangloisi,12,1.0
cniesel0,17,3.0
tlowden17,8,4.0
cniesel0,20,2.0
daleksidzer,13,4.0
lbudibent3,15,4.0
rbottrellt,5,1.0
cfrankcom2d,6,1.0
csedgeworthk,13,3.0
cschild1y,16,2.0
esouthwell2b,18,3.0
msmedmore2n,7,1.0
afradsonm,3,2.0
jcolyer5,4,4.0
rbottrellt,4,3.0
prosenfelt14,12,4.0
jvasilenko2h,6,2.0
rtwitchings9,8,3.0
olechmere1k,3,4.0
apetchell15,17,2.0
mdampier2q,17,1.0
kstammler1m,3,3.0
ccockerham8,15,1.0
rgasgarthu,7,3.0
aecclestone1d,13,4.0
pkyteley2j,4,4.0
lmaxtedg,13,3.0
tpaulino2,9,4.0
ccrippin21,3,1.0
xbenion2f,15,3.0
cniesel0,1,1.0
thargess27,18,4.0
egabbatiss2p,3,1.0
kstonestreet20,16,3.0
swilemans,7,3.0
pvicaryn,13,2.0
cyannoni1w,5,1.0
fscreech6,11,4.0
mcharlot12,5,1.0
csedgeworthk,3,2.0
pkyteley2j,12,4.0
esouthwell2b,5,2.0
jvasilenko2h,15,4.0
tdundon1,2,4.0
jdellcasa1n,18,4.0
garonovich1v,19,1.0
dbruckshaw1l,9,4.0
mwhitnell7,19,3.0
lmaxtedg,6,2.0
mgarioch1p,19,1.0
ashenton26,4,4.0
bboobierv,14,1.0
afradsonm,20,1.0
csedgeworthk,9,1.0
jvasilenko2h,5,4.0
jvasilenko2h,4,3.0
astoate1c,20,3.0
garonovich1v,7,3.0
egrestie2c,4,1.0
jhearsey25,17,2.0
rrosten1x,15,1.0
prosenfelt14,8,4.0
jmonini18,13,3.0
afradsonm,11,3.0
sbignell19,10,3.0
gtapine,11,2.0
lshattock1e,1,3.0
pkyteley2j,2,2.0
csedgeworthk,2,2.0
aheyward1g,18,3.0
dbruckshaw1l,4,1.0
battwellz,4,1.0
mgarioch1p,3,3.0
ccockerham8,17,1.0
ahorbath1a,6,2.0
marnaez24,20,4.0
tsowrah1t,7,2.0
rfoulis13,11,3.0
gtoffolonio,17,4.0
astoate1c,9,3.0
ccockerham8,20,4.0
olechmere1k,14,3.0
jdellcasa1n,14,4.0
jcolyer5,5,2.0
sponteq,0,2.0
aecclestone1d,15,1.0
aecclestone1d,2,3.0
ebatchelor22,16,4.0
daleksidzer,18,2.0
cwaszkiewicz1u,11,1.0
mvasseh,13,4.0
msmedmore2n,6,4.0
dpiatto4,20,2.0
mgarioch1p,15,2.0
mcharlot12,8,2.0
battwellz,6,4.0
tpaulino2,10,4.0
fbernon1j,12,4.0
jmonini18,16,2.0
gtoffolonio,12,2.0
dayllett1i,17,1.0
battwellz,5,1.0
rbottrellt,3,1.0
jcolyer5,8,2.0
aheyward1g,15,2.0
hseabrocke2m,0,3.0
sponteq,18,3.0
ssparshettb,7,3.0
prosenfelt14,19,4.0
sponteq,16,1.0
gtapine,8,1.0
kstammler1m,7,1.0
sponteq,20,3.0
kstammler1m,0,3.0
glongbottom16,5,4.0
wleatt2o,9,4.0
thargess27,9,3.0
kstammler1m,19,3.0
tdundon1,9,2.0
vsecretan1z,7,4.0
ssparshettb,17,3.0
battwellz,3,2.0
egrestie2c,1,4.0
lbudibent3,18,1.0
alloydwilliamsa,1,3.0
tpaulino2,4,1.0
alloydwilliamsa,12,4.0
oaloshkinj,11,4.0
mdampier2q,19,3.0
cfrankcom2d,17,1.0
cyannoni1w,10,4.0
elivingstonep,0,4.0
cosbaldestony,6,2.0
hpoundford2i,5,1.0
bboobierv,0,3.0
mcharlot12,15,1.0
gseadon28,3,4.0
bdundin1f,19,3.0
cwaszkiewicz1u,16,3.0
pcolleford2r,3,4.0
swilemans,3,2.0
sbignell19,6,4.0
vsecretan1z,1,4.0
swilemans,0,2.0
fbernon1j,5,2.0
llangloisi,0,3.0
ahorbath1a,15,4.0
gtoffolonio,8,3.0
sbignell19,3,2.0
fscreech6,20,1.0
tlowden17,19,2.0
tmusickaw,7,1.0
jcolyer5,2,2.0
astoate1c,11,2.0
tlowden17,0,2.0
jvasilenko2h,20,4.0
msmedmore2n,12,3.0
bboobierv,1,4.0
dbruckshaw1l,19,3.0
lshattock1e,4,2.0
bfiggins23,7,2.0
aheyward1g,10,2.0
aheyward1g,17,1.0
mcharlot12,7,1.0
mromandl,7,4.0
mwhitnell7,6,1.0
avasechkin2g,16,2.0
ksmedley1b,12,2.0
gtoffolonio,2,2.0
xbenion2f,16,1.0
lmaxtedg,12,1.0
ashenton26,17,3.0
tpaulino2,8,2.0
alloydwilliamsa,3,1.0
lmaxtedg,16,4.0
tdundon1,11,1.0
elivingstonep,13,1.0
mromandl,20,3.0
xbenion2f,10,4.0
cdevaneyc,9,2.0
tdundon1,17,4.0
mcharlot12,14,1.0
msmedmore2n,8,1.0
egrestie2c,18,2.0
ebatchelor22,10,3.0
cschild1y,3,2.0
bfiggins23,8,3.0
dayllett1i,10,3.0
olechmere1k,9,4.0
cschild1y,2,4.0
lconaboy11,12,4.0
dpiatto4,12,4.0
rfoulis13,12,2.0
ashenton26,18,3.0
gtapine,20,3.0
ccrippin21,5,4.0
dbruckshaw1l,0,2.0
llangloisi,10,2.0
ebatchelor22,0,4.0
rwilcott10,20,2.0
tfley1q,2,4.0
