,Unnamed: 0.1,Unnamed: 0,username,movie_id,watch_date,rating,comment
0,0.0,0.0,ccrippin21,968,2024-10-18,2.0,
1,1.0,1.0,bdundin1f,4013,2015-06-07,1.0,
2,2.0,2.0,tdundon1,3225,2020-03-31,4.0,
3,3.0,3.0,jmccarterx,725,2008-08-21,4.0,
4,4.0,4.0,astoate1c,4496,2022-12-07,2.0,
5,5.0,5.0,ssparshettb,2702,2014-04-06,4.0,
6,6.0,6.0,jmccarterx,486,2021-08-16,3.0,
7,7.0,7.0,wdjordjevic1r,1807,2011-08-11,1.0,
8,8.0,8.0,hpoundford2i,1606,2018-04-12,3.0,
9,9.0,9.0,rbottrellt,4507,2023-12-30,2.0,
10,10.0,10.0,thargess27,129,2015-03-15,2.0,
11,11.0,11.0,wdjordjevic1r,4217,2020-10-04,2.0,
12,12.0,12.0,egabbatiss2p,322,2009-02-07,1.0,
13,13.0,13.0,gbezemer1h,463,2017-06-12,4.0,
14,14.0,14.0,cyannoni1w,3908,2009-12-02,4.0,
15,15.0,15.0,xbenion2f,4102,2014-07-22,3.0,
16,16.0,16.0,wdjordjevic1r,896,2021-01-02,3.0,
17,17.0,17.0,tpaulino2,3198,2025-10-07,2.0,
18,18.0,18.0,thargess27,4065,2015-07-24,1.0,
19,19.0,19.0,tlowden17,1145,2011-04-04,1.0,
20,20.0,20.0,mromandl,1762,2023-11-24,3.0,
21,21.0,21.0,dayllett1i,683,2024-12-19,3.0,
22,22.0,22.0,thargess27,4566,2018-02-05,2.0,
23,23.0,23.0,tmusickaw,4306,2020-07-03,2.0,
24,24.0,24.0,ashenton26,730,2021-11-16,3.0,
25,25.0,25.0,vmuslimf,941,2017-07-28,2.0,
26,26.0,26.0,olechmere1k,2486,2020-09-14,3.0,
27,27.0,27.0,afradsonm,3098,2024-05-09,4.0,
28,28.0,28.0,ahorbath1a,4456,2018-11-01,3.0,
29,29.0,29.0,ccrippin21,3017,2011-12-21,1.0,
30,30.0,30.0,rtwitchings9,3708,2009-08-05,3.0,
31,31.0,31.0,knewling1s,1291,2009-02-07,4.0,
32,32.0,32.0,ahorbath1a,4107,2018-11-13,2.0,
33,33.0,33.0,dsiene2k,1020,2014-07-02,1.0,
34,34.0,34.0,ssimoes2a,41,2019-06-22,4.0,
35,35.0,35.0,aecclestone1d,672,2009-10-26,4.0,
36,36.0,36.0,apetchell15,1559,2015-05-25,4.0,
37,37.0,37.0,dpiatto4,4101,2023-01-11,4.0,
38,38.0,38.0,esouthwell2b,4578,2025-07-08,4.0,
39,39.0,39.0,astoate1c,791,2010-05-30,3.0,
40,40.0,40.0,aheyward1g,2018,2014-11-08,2.0,
41,41.0,41.0,tmusickaw,1523,2020-12-28,3.0,
42,42.0,42.0,tmusickaw,4702,2013-08-05,2.0,
43,43.0,43.0,vmuslimf,3259,2023-12-02,4.0,
44,44.0,44.0,jmonini18,2246,2013-09-07,2.0,
45,45.0,45.0,glongbottom16,1782,2017-05-18,1.0,
46,46.0,46.0,mvasseh,11,2024-02-09,1.0,
47,47.0,47.0,cniesel0,616,2008-03-30,2.0,
48,48.0,48.0,glongbottom16,2888,2008-05-22,2.0,
49,49.0,49.0,prosenfelt14,3459,2018-06-18,1.0,
50,50.0,50.0,ppointon2l,1985,2017-09-18,3.0,
51,51.0,51.0,rbottrellt,2279,2011-10-11,3.0,
52,52.0,52.0,aheyward1g,4335,2022-11-29,3.0,
53,53.0,53.0,sbignell19,2185,2017-02-05,3.0,
54,54.0,54.0,dpiatto4,789,2009-03-16,1.0,
55,55.0,55.0,onewberryd,1597,2024-03-07,3.0,
56,56.0,56.0,egabbatiss2p,1839,2015-09-03,1.0,
57,57.0,57.0,bdundin1f,1171,2008-07-13,4.0,
58,58.0,58.0,pkyteley2j,732,2008-01-31,2.0,
59,59.0,59.0,jhearsey25,3506,2018-02-05,4.0,
60,60.0,60.0,vsecretan1z,1419,2019-08-31,4.0,
61,61.0,61.0,jmccarterx,4035,2016-08-30,2.0,
62,62.0,62.0,olechmere1k,849,2025-03-16,1.0,
63,63.0,63.0,tdundon1,37,2015-09-02,1.0,
64,64.0,64.0,rgasgarthu,137,2016-05-03,3.0,
65,65.0,65.0,cschild1y,2751,2014-01-27,4.0,
66,66.0,66.0,rbottrellt,1647,2025-06-17,4.0,
67,67.0,67.0,jhaslen2e,4470,2013-09-19,2.0,
68,68.0,68.0,pvicaryn,3015,2016-05-11,4.0,
69,69.0,69.0,egrestie2c,4302,2013-07-24,3.0,
70,70.0,70.0,rwilcott10,1057,2020-02-10,3.0,
71,71.0,71.0,tlowden17,524,2009-01-23,4.0,
72,72.0,72.0,pcolleford2r,4580,2016-07-17,3.0,
73,73.0,73.0,elivingstonep,3517,2022-05-29,3.0,
74,74.0,74.0,jmccarterx,1735,2013-07-18,4.0,
75,75.0,75.0,egrestie2c,2281,2008-08-23,3.0,
76,76.0,76.0,lmaxtedg,368,2022-06-06,3.0,
77,77.0,77.0,ccockerham8,933,2009-05-08,2.0,
78,78.0,78.0,prosenfelt14,3637,2022-09-12,4.0,
79,79.0,79.0,wleatt2o,4348,2012-05-03,3.0,
80,80.0,80.0,jvasilenko2h,1578,2018-08-27,3.0,
81,81.0,81.0,gbezemer1h,3790,2010-11-21,1.0,
82,82.0,82.0,esouthwell2b,2245,2023-11-28,1.0,
83,83.0,83.0,gtoffolonio,2024,2008-11-06,2.0,
84,84.0,84.0,egabbatiss2p,376,2017-06-30,2.0,
85,85.0,85.0,alloydwilliamsa,3731,2022-12-05,2.0,
86,86.0,86.0,cschild1y,3017,2009-04-02,3.0,
87,87.0,87.0,sponteq,1246,2022-03-21,3.0,
88,88.0,88.0,rfoulis13,2743,2025-03-24,4.0,
89,89.0,89.0,jdellcasa1n,3306,2010-03-05,4.0,
90,90.0,90.0,fbernon1j,862,2011-03-31,3.0,
91,91.0,91.0,vmuslimf,192,2015-12-01,4.0,
92,92.0,92.0,gseadon28,3526,2010-02-10,3.0,
93,93.0,93.0,xbenion2f,580,2008-10-23,3.0,
94,94.0,94.0,fscreech6,2636,2012-11-27,4.0,
95,95.0,95.0,pvicaryn,309,2017-02-05,4.0,
96,96.0,96.0,mgarioch1p,1125,2010-06-10,2.0,
97,97.0,97.0,dayllett1i,3540,2019-08-14,1.0,
98,98.0,98.0,mvasseh,2603,2010-04-25,4.0,
99,99.0,99.0,ksmedley1b,4211,2015-06-28,2.0,
100,100.0,100.0,dbruckshaw1l,445,2008-05-30,3.0,
101,101.0,101.0,thargess27,2422,2025-12-05,2.0,
102,102.0,102.0,lconaboy11,3075,2022-08-23,2.0,
103,103.0,103.0,lbudibent3,856,2026-04-02,4.0,
104,104.0,104.0,ebatchelor22,1902,2012-06-24,4.0,
105,105.0,105.0,ssparshettb,1586,2022-07-18,2.0,
106,106.0,106.0,tlowden17,1819,2008-06-03,4.0,
107,107.0,107.0,tmusickaw,2513,2016-11-23,2.0,
108,108.0,108.0,fscreech6,834,2017-03-28,1.0,
109,109.0,109.0,knewling1s,2741,2011-12-28,3.0,
110,110.0,110.0,ebatchelor22,1347,2022-12-03,3.0,
111,111.0,111.0,rgasgarthu,2,2009-07-20,1.0,
112,112.0,112.0,jvasilenko2h,261,2022-12-15,1.0,
113,113.0,113.0,avasechkin2g,3957,2009-02-26,2.0,
114,114.0,114.0,rbottrellt,1783,2017-12-31,1.0,
115,115.0,115.0,pcolleford2r,3863,2008-04-29,1.0,
116,116.0,116.0,dbruckshaw1l,2139,2009-06-16,4.0,
117,117.0,117.0,jcolyer5,4270,2017-01-24,4.0,
118,118.0,118.0,oaloshkinj,1746,2017-02-03,2.0,
119,119.0,119.0,dayllett1i,4144,2015-10-05,1.0,
120,120.0,120.0,cdevaneyc,4172,2017-02-03,3.0,
121,121.0,121.0,jvasilenko2h,1740,2014-02-28,4.0,
122,122.0,122.0,pcolleford2r,1980,2015-12-28,2.0,
123,123.0,123.0,knewling1s,408,2026-02-27,3.0,
124,124.0,124.0,prosenfelt14,487,2008-01-26,3.0,
125,125.0,125.0,bboobierv,1165,2021-04-10,4.0,
126,126.0,126.0,ccockerham8,3108,2010-07-31,2.0,
127,127.0,127.0,ccockerham8,1318,2011-11-29,1.0,
128,128.0,128.0,msmedmore2n,4467,2012-08-31,4.0,
129,129.0,129.0,lshattock1e,4692,2010-10-13,2.0,
130,130.0,130.0,glongbottom16,1053,2024-12-02,2.0,
131,131.0,131.0,hpoundford2i,2660,2023-03-08,1.0,
132,132.0,132.0,cosbaldestony,469,2009-08-09,1.0,
133,133.0,133.0,jhaslen2e,3661,2011-09-10,3.0,
134,134.0,134.0,esouthwell2b,1513,2022-08-24,4.0,
135,135.0,135.0,pkyteley2j,2791,2016-12-20,4.0,
136,136.0,136.0,tdundon1,207,2021-09-28,1.0,
137,137.0,137.0,llangloisi,2108,2016-03-28,2.0,
138,138.0,138.0,cniesel0,2814,2014-01-10,3.0,
139,139.0,139.0,tmusickaw,1177,2023-05-11,3.0,
140,140.0,140.0,thargess27,1455,2025-08-17,4.0,
141,141.0,141.0,glongbottom16,4541,2016-01-02,3.0,
142,142.0,142.0,csedgeworthk,1583,2014-07-19,2.0,
143,143.0,143.0,prosenfelt14,2690,2017-03-03,3.0,
144,144.0,144.0,rgasgarthu,194,2008-01-28,3.0,
145,145.0,145.0,ahorbath1a,3081,2023-12-08,2.0,
146,146.0,146.0,mgarioch1p,4065,2018-02-19,3.0,
147,147.0,147.0,cschild1y,3886,2014-05-21,1.0,
148,148.0,148.0,afradsonm,663,2026-02-08,3.0,
149,149.0,149.0,llangloisi,1110,2025-06-11,1.0,
150,150.0,150.0,battwellz,3552,2013-07-28,3.0,
151,151.0,151.0,jdellcasa1n,2871,2020-11-20,2.0,
152,152.0,152.0,ahorbath1a,3271,2024-06-30,1.0,
153,153.0,153.0,ebatchelor22,1652,2015-01-29,3.0,
